method,byz_ratio,seed,n_byz,byz_ids,asr,fpr,balanced_accuracy,accuracy,precision,recall,f1,tn,fp,fn,tp,elapsed_s
fedavg,0.0,42,0,[],0.025835,0.538696,99.717734,0.999319,0.999516,0.999742,0.999629,5539,30,16,61915,179.3
cwtm,0.0,42,0,[],0.025835,0.484827,99.744669,0.999363,0.999564,0.999742,0.999653,5542,27,16,61915,172.7
gm,0.0,42,0,[],0.022606,0.592566,99.692414,0.999304,0.999467,0.999774,0.999621,5536,33,14,61917,174.5
trust_gm,0.0,42,0,[],0.025835,0.395044,99.78956,0.999437,0.999645,0.999742,0.999693,5547,22,16,61915,175.4
bst_gm,0.0,42,0,[],0.022606,0.556653,99.710371,0.999333,0.9995,0.999774,0.999637,5538,31,14,61917,176.7
fedavg,0.2,42,2,"[1, 7]",0.066203,1.526306,99.203745,0.998133,0.998628,0.999338,0.998983,5484,85,41,61890,172.9
cwtm,0.2,42,2,"[1, 7]",0.074276,0.538696,99.693514,0.998874,0.999515,0.999257,0.999386,5539,30,46,61885,172.5
gm,0.2,42,2,"[1, 7]",0.024221,1.059436,99.458172,0.998904,0.999048,0.999758,0.999403,5510,59,15,61916,176.5
trust_gm,0.2,42,2,"[1, 7]",0.024221,0.646436,99.664672,0.999244,0.999419,0.999758,0.999588,5533,36,15,61916,174.1
bst_gm,0.2,42,2,"[1, 7]",0.020991,1.04148,99.468765,0.998948,0.999064,0.99979,0.999427,5511,58,13,61918,174.8
fedavg,0.3,42,3,"[1, 5, 7]",1.584021,0.574609,98.920685,0.984993,0.999475,0.98416,0.991758,5537,32,981,60950,172.3
cwtm,0.3,42,3,"[1, 5, 7]",5.402787,0.448914,97.07415,0.950059,0.999573,0.945972,0.972034,5544,25,3346,58585,171.3
gm,0.3,42,3,"[1, 5, 7]",0.130791,1.149219,99.359995,0.997852,0.998966,0.998692,0.998829,5505,64,81,61850,173.2
trust_gm,0.3,42,3,"[1, 5, 7]",0.041982,0.736218,99.6109,0.999007,0.999338,0.99958,0.999459,5528,41,26,61905,173.7
bst_gm,0.3,42,3,"[1, 5, 7]",0.022606,0.790088,99.593653,0.999141,0.99929,0.999774,0.999532,5525,44,14,61917,173.0
