experiment,method,byz_ratio,seed,param_name,param_value,asr,fpr,balanced_accuracy,tn,fp,fn,tp,elapsed_s
exp5_gamma,acccs_gm,0.4,42,gamma,1.0,0.02744990392533626,0.682348716107021,99.64510068998382,5531,38,17,61914,193.8
exp5_gamma,acccs_gm,0.4,123,gamma,1.0,0.019376402770825595,2.0111330579996407,98.98474526961476,5457,112,12,61919,187.1
exp5_gamma,acccs_gm,0.4,456,gamma,1.0,0.019376402770825595,1.9931765128389296,98.99372354219511,5458,111,12,61919,183.0
exp5_gamma,acccs_gm,0.4,789,gamma,1.0,0.21314043047908157,1.2928712515711978,99.24699415897486,5497,72,132,61799,181.6
exp5_gamma,acccs_gm,0.4,1011,gamma,1.0,0.03552340507984693,0.39504399353564373,99.78471630069225,5547,22,22,61909,185.1
exp5_gamma,acccs_gm,0.4,1415,gamma,1.0,0.02583520369443413,1.1133057999640867,99.43042949817075,5507,62,16,61915,181.3
exp5_gamma,acccs_gm,0.4,1617,gamma,1.0,0.02583520369443413,0.8619141677141318,99.55612531429571,5521,48,16,61915,182.6
exp5_gamma,acccs_gm,0.4,1819,gamma,1.0,0.019376402770825595,2.5857425031423955,98.69744054704339,5425,144,12,61919,180.9
exp5_gamma,acccs_gm,0.4,2021,gamma,1.0,0.019376402770825595,2.316394325731729,98.83211463574872,5440,129,12,61919,181.4
exp5_gamma,acccs_gm,0.4,42,gamma,2.0,0.022605803232629864,0.7541748967498654,99.61160965000875,5527,42,14,61917,196.7
exp5_gamma,acccs_gm,0.4,123,gamma,2.0,0.022605803232629864,1.5083497934997308,99.23452220163381,5485,84,14,61917,190.5
exp5_gamma,acccs_gm,0.4,456,gamma,2.0,0.02099110300172773,1.2749147064104867,99.3520470952939,5498,71,13,61918,185.9
exp5_gamma,acccs_gm,0.4,789,gamma,2.0,0.04198220600345546,0.30526126773208834,99.82637826313223,5552,17,26,61905,183.1
exp5_gamma,acccs_gm,0.4,1011,gamma,2.0,0.03067930438714053,0.6464356257855989,99.66144253491363,5533,36,19,61912,184.3
exp5_gamma,acccs_gm,0.4,1415,gamma,2.0,0.043596906234357594,1.1312623451247978,99.41257037432042,5506,63,27,61904,183.5
exp5_gamma,acccs_gm,0.4,1617,gamma,2.0,0.022605803232629864,0.7900879870712875,99.59365310484804,5525,44,14,61917,184.2
exp5_gamma,acccs_gm,0.4,1819,gamma,2.0,0.019376402770825595,2.460046687017418,98.76028845510587,5432,137,12,61919,184.9
exp5_gamma,acccs_gm,0.4,2021,gamma,2.0,0.022605803232629864,1.9213503321960854,99.02802193228564,5462,107,14,61917,185.8
exp5_gamma,acccs_gm,0.4,42,gamma,5.0,0.02583520369443413,0.7003052612677321,99.63692976751892,5530,39,16,61915,186.2
